seed,NC_micro,WC_micro,delta_micro,NC_macro,WC_macro,baseline_micro,greedy_micro,baseline_macro,greedy_macro,seconds
0,0.49392587730421333,0.8034699327197052,0.3095440554154919,0.3102972725704226,0.5931227631167181,0.0979020283541937,0.4084257007742455,0.08014322660886526,0.2502763532679158,31361.80588579178
1,0.48546654005697437,0.8109550702184017,0.32548853016142737,0.3134969733566569,0.6059977814997558,0.09919536208706083,0.2703783297516118,0.07976066277045259,0.16800817019529188,31275.418652534485
2,0.49398502191311916,0.8114037257249137,0.31741870381179454,0.30987500058867157,0.6071232320786745,0.09380101107032973,0.23649350520869403,0.07735994349202469,0.15045625560236764,31042.399316072464
3,0.49240333903810557,0.79669389323261,0.3042905541945044,0.31116938863772464,0.5861247178670379,0.08874496674433806,0.3191994691069121,0.07625760485186865,0.19206911229767132,31490.025806188583
4,0.523996664286392,0.8076721412984316,0.28367547701203955,0.33837598438381555,0.6060717039992669,0.0929156034495673,0.3101464617965914,0.07790808371246694,0.1909643601146523,31349.43707370758
5,0.4935793314210389,0.7980587413416013,0.3044794099205624,0.31209553357251796,0.5820722230845359,0.09418461705562604,0.31308473505176526,0.0711207015757906,0.19622062163576331,36225.15337085724
6,0.5286015248796148,0.7974819422150883,0.2688804173354735,0.33947187816889246,0.5878531447431096,0.09031902086677368,0.33688804173354736,0.07358646804264098,0.2134790646408382,34037.432401418686
7,0.4563236453276166,0.7968982985324905,0.3405746532048739,0.28636852526096307,0.5885360969643727,0.09596296835541543,0.3715264006105,0.07872991342114725,0.23014984330293572,29581.750931739807
8,0.523202401801351,0.8016762571928947,0.2784738553915437,0.33437186305308825,0.5932406453758449,0.09453089817363022,0.28928696522391795,0.07595818387765114,0.18419603607890964,33872.18333697319
9,0.4580934197272878,0.8046815099899274,0.3465880902626396,0.2889804368690861,0.5970197775697479,0.08986675085567099,0.3130928935460108,0.07441992450762958,0.19567371359465974,37101.38275551796
